Data                     Função              Descrição

11/11/2022 - 15:10:31    main.Unique         [['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']]
11/11/2022 - 15:10:31    main.Unique         ['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:21:11    main.Unique         [['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim'], ['3', '1', '11/11/2022', 'Fabaceae', 'Genero2', 'Espécie2', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['4', '1', '11/11/2022', 'Asteraceae4', 'Genero3', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']]
11/11/2022 - 15:21:11    main.Unique         ['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:21:11    main.Unique         ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim']
11/11/2022 - 15:21:11    main.Unique         ['3', '1', '11/11/2022', 'Fabaceae', 'Genero2', 'Espécie2', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:21:11    main.Unique         ['4', '1', '11/11/2022', 'Asteraceae4', 'Genero3', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:22:31    main.Unique         [['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim'], ['3', '1', '11/11/2022', 'Fabaceae', 'Genero2', 'Espécie2', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['4', '1', '11/11/2022', 'Asteraceae4', 'Genero3', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']]
11/11/2022 - 15:22:31    main.Unique         ['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:22:31    main.Unique         ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim']
11/11/2022 - 15:22:31    main.Unique         ['3', '1', '11/11/2022', 'Fabaceae', 'Genero2', 'Espécie2', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:22:31    main.Unique         ['4', '1', '11/11/2022', 'Asteraceae4', 'Genero3', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:23:6     main.Unique         [['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim'], ['3', '1', '11/11/2022', 'Fabaceae', 'Genero2', 'Espécie2', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim'], ['4', '1', '11/11/2022', 'Asteraceae4', 'Genero3', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']]
11/11/2022 - 15:23:6     main.Unique         ['1', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Néctar', 'N/Id', 'Sim']
11/11/2022 - 15:23:6     main.Unique         ['2', '1', '10/11/2022', 'Asteraceae', 'Genero1', 'Espécie1', 'Árvore', 'Nativa', 'Nectar', 'N/Id', 'Sim']
